Date,Open,Low,Close,Adj Close,Volume,High,,,,,,,,,,,,,,,,,
41246,84.807144,83.64286,83.741432,75.73526,91070000,84.941429,3-Dec-12,,,desc stats,,,,,,,,,,,,,
41247,83.114288,81.732857,82.264282,74.399345,139267100,83.114288,,,,Date,,Open,,High,,Low,,Close,,Adj Close,,Volume,
41248,81.272858,76.96714,76.970001,69.611214,261159500,81.321426,,,,,,,,,,,,,,,,,
41249,75.562859,74.089996,78.177139,70.702957,294303100,79.044289,,,,Mean,42127.40625,Mean,103.3381392,Mean,104.2037958,Mean,102.4333529,Mean,103.3338615,Mean,99.00824701,Mean,59597587.58
41250,79.057144,75.714287,76.178574,68.895454,196760200,79.314285,,,,Standard Error,14.60235141,Standard Error,0.770586049,Standard Error,0.77363536,Standard Error,0.766262439,Standard Error,0.770704165,Standard Error,0.802927483,Standard Error,1144820.596
41253,75,74.511429,75.688568,68.452301,157621100,76.93,,,,Median,42128.5,Median,105.5499995,Median,106.4900015,Median,104.7949985,Median,105.7350005,Median,101.5503655,Median,48949700
41254,77.110001,76.767143,77.341431,69.947159,148086400,78.508568,,,,Mode,#N/A,Mode,75,Mode,96.889999,Mode,94.099998,Mode,100.75,Mode,58.748772,Mode,50190000
41255,78.252853,76.610001,77,69.638367,121786000,78.285713,,,,Standard Deviation,509.2013931,Standard Deviation,26.87125372,Standard Deviation,26.97758681,Standard Deviation,26.7204843,Standard Deviation,26.87537257,Standard Deviation,27.99903807,Standard Deviation,39921258.31
41256,75.878571,75.114288,75.669998,68.435509,156314900,76.805717,,,,Sample Variance,259286.0587,Sample Variance,722.0642767,Sample Variance,727.7901902,Sample Variance,713.9842814,Sample Variance,722.2856507,Sample Variance,783.9461326,Sample Variance,1.59E+15
41257,73.535713,72.225716,72.827141,65.864456,252394800,74.01857,,,,Kurtosis,-1.200109793,Kurtosis,-0.757983767,Kurtosis,-0.768145768,Kurtosis,-0.758048976,Kurtosis,-0.763993636,Kurtosis,-0.688587243,Kurtosis,7.759033884
41260,72.704285,71.604286,74.118568,67.032394,189401800,74.285713,,,,Skewness,0.000347115,Skewness,0.167511467,Skewness,0.158677324,Skewness,0.16937201,Skewness,0.162336911,Skewness,0.208284659,Skewness,2.211944006
41261,75,74.321426,76.271431,68.979446,156421300,76.414284,,,,Range,1761,Range,109.375717,Range,107.85429,Range,108.615719,Range,108.260002,Range,112.712162,Range,353737200
